study_id,item_id,item_filename,item_cdn_url,tester_id,tester_external_id,tester_display_name,tester_tags,tester_quality_grade,tester_quality_grade_item,test_item_display_order,aoi_id,aoi_name,aoi_item_parts,aoi_size_percents,aoi_time_range_from_ms,aoi_time_range_to_ms,aoi_fixation_total_count,aoi_fixation_average_duration_ms,aoi_fixation_ttff_ms,aoi_fixation_average_total_time_spent_ms,aoi_fixation_first_fixation_average_duration_ms,notes
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,4c453528-0f26-4681-97e3-2a6bb075da55,,"khj, Female, 24",,5,5,3,b2bde8a6-2e06-46ae-921d-dca51e3d70aa,avatar,"[{""areaPoints"":{""topLeft"":{""xPx"":1,""yPx"":0},""bottomRight"":{""xPx"":841,""yPx"":585}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.62121212121212,""widthPercents"":50,""heightPercents"":49.24242424242424}}]",24.621212121212,500,40000,6,293,653,1755,127,"RealEye v8.14.2; FixationFilterSettings [gazePointInterpolationHz = 60; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 180; minFixationDurationMs = 100; noiseReductionLevel = 21]; TestCriteria [;isGenderMale=true;isGenderFemale=true;isGenderOther=true;isGenderUnknown=true;qualityMin=1;qualityMax=6;isTesterTypeRealEye=true;isTesterTypeNonRealEye=true]; 2022-01-20T10:08:31+00:00"
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,4c453528-0f26-4681-97e3-2a6bb075da55,,"khj, Female, 24",,5,5,3,bdb53d04-7c22-43c6-9997-81979a1f2ebd,doswiadczenie_zawodowe,"[{""areaPoints"":{""topLeft"":{""xPx"":842,""yPx"":0},""bottomRight"":{""xPx"":1678,""yPx"":587}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.58774250440917,""widthPercents"":49.76190476190476,""heightPercents"":49.41077441077441}}]",24.587742504409,500,40000,28,514,14672,14401,167,
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,4c453528-0f26-4681-97e3-2a6bb075da55,,"khj, Female, 24",,5,5,3,f76ce316-a2ec-421b-a9a6-b59f9f93ec84,"wyksztalcenie ","[{""areaPoints"":{""topLeft"":{""xPx"":840,""yPx"":592},""bottomRight"":{""xPx"":1678,""yPx"":1187}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.98246352413019,""widthPercents"":49.88095238095238,""heightPercents"":50.08417508417509}}]",24.98246352413,500,40000,23,421,8751,9682,372,
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,4c453528-0f26-4681-97e3-2a6bb075da55,,"khj, Female, 24",,5,5,3,fb34f810-dddd-465a-b6fc-f9fa43ed5f0c,zainteresowania,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":586},""bottomRight"":{""xPx"":840,""yPx"":1187}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.294612794612796,""widthPercents"":50,""heightPercents"":50.58922558922559}}]",25.294612794613,500,40000,16,459,2694,7350,600,
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,be1eaac1-7d51-4601-b2d4-da48fb673ac9,,"Anonymous, Male, 22",,4,3,4,b2bde8a6-2e06-46ae-921d-dca51e3d70aa,avatar,"[{""areaPoints"":{""topLeft"":{""xPx"":1,""yPx"":0},""bottomRight"":{""xPx"":841,""yPx"":585}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.62121212121212,""widthPercents"":50,""heightPercents"":49.24242424242424}}]",24.621212121212,500,40000,3,296,1427,889,265,
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,be1eaac1-7d51-4601-b2d4-da48fb673ac9,,"Anonymous, Male, 22",,4,3,4,bdb53d04-7c22-43c6-9997-81979a1f2ebd,doswiadczenie_zawodowe,"[{""areaPoints"":{""topLeft"":{""xPx"":842,""yPx"":0},""bottomRight"":{""xPx"":1678,""yPx"":587}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.58774250440917,""widthPercents"":49.76190476190476,""heightPercents"":49.41077441077441}}]",24.587742504409,500,40000,5,366,2696,1828,1016,
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,be1eaac1-7d51-4601-b2d4-da48fb673ac9,,"Anonymous, Male, 22",,4,3,4,f76ce316-a2ec-421b-a9a6-b59f9f93ec84,"wyksztalcenie ","[{""areaPoints"":{""topLeft"":{""xPx"":840,""yPx"":592},""bottomRight"":{""xPx"":1678,""yPx"":1187}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.98246352413019,""widthPercents"":49.88095238095238,""heightPercents"":50.08417508417509}}]",24.98246352413,500,40000,29,403,4044,11675,625,
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,be1eaac1-7d51-4601-b2d4-da48fb673ac9,,"Anonymous, Male, 22",,4,3,4,fb34f810-dddd-465a-b6fc-f9fa43ed5f0c,zainteresowania,"[{""areaPoints"":{""topLeft"":{""xPx"":0,""yPx"":586},""bottomRight"":{""xPx"":840,""yPx"":1187}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":25.294612794612796,""widthPercents"":50,""heightPercents"":50.58922558922559}}]",25.294612794613,500,40000,29,317,682,9187,477,
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,d00e8b4b-ce01-4132-9222-0ca80771f956,,"jbs, Male, 27",,5,5,2,b2bde8a6-2e06-46ae-921d-dca51e3d70aa,avatar,"[{""areaPoints"":{""topLeft"":{""xPx"":1,""yPx"":0},""bottomRight"":{""xPx"":841,""yPx"":585}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.62121212121212,""widthPercents"":50,""heightPercents"":49.24242424242424}}]",24.621212121212,500,40000,18,350,510,6305,117,
d155b055-9d26-4c3e-899b-2943ddae0867,a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d,"Adrianna Czarnecka.png",https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d155b055-9d26-4c3e-899b-2943ddae0867/project_lg_a6cc7e22-511c-41a6-b4cb-bcdb3aa1531d.jpg,d00e8b4b-ce01-4132-9222-0ca80771f956,,"jbs, Male, 27",,5,5,2,bdb53d04-7c22-43c6-9997-81979a1f2ebd,doswiadczenie_zawodowe,"[{""areaPoints"":{""topLeft"":{""xPx"":842,""yPx"":0},""bottomRight"":{""xPx"":1678,""yPx"":587}},""timeRange"":{""fromMs"":500,""toMs"":40000},""size"":{""overallPercents"":24.58774250440917,""widthPercents"":49.76190476190476,""heightPercents"":49.41077441077441}}]",24.587742504409,500,40000,27,484,1511,13061,263,
